energy_type,State,consumption
BM,KY,55381
JF,KY,48539
LG,KY,33531
HY,KY,31249
RF,KY,197
TE,LA,3834985
NG,LA,1501107
P1,LA,789436
LG,LA,257659
MM,LA,256028
CL,LA,228055
DF,LA,195077
RE,LA,138356
BM,LA,125474
JF,LA,123635
RF,LA,73484
HY,LA,9966
TE,MA,1442581
NG,MA,454496
MM,MA,308422
DF,MA,173247
RE,MA,81031
BM,MA,60369
CL,MA,42208
JF,MA,35749
P1,MA,12655
LG,MA,12182
HY,MA,9460
RF,MA,5414
TE,MD,1403803
MM,MD,315385
NG,MD,209419
CL,MD,183191
DF,MD,98918
RE,MD,78018
BM,MD,54915
P1,MD,24957
HY,MD,16477
LG,MD,11389
JF,MD,11121
RF,MD,1981
TE,ME,407112
RE,ME,161369
BM,ME,116988
MM,ME,83274
NG,ME,65892
DF,ME,65557
HY,ME,33970
LG,ME,13201
RF,ME,10843
JF,ME,6313
P1,ME,3528
CL,ME,1657
TE,MI,2843205
NG,MI,832101
CL,MI,658172
MM,MI,515097
RE,MI,195479
DF,MI,165082
BM,MI,148811
P1,MI,71456
LG,MI,47132
JF,MI,22052
HY,MI,13539
RF,MI,2555
TE,MN,1859790
NG,MN,478832
MM,MN,279143
CL,MN,267695
RE,MN,233732
DF,MN,157153
BM,MN,148410
P1,MN,76866
LG,MN,36575
JF,MN,33094
HY,MN,4877
RF,MN,600
TE,MO,1857005
CL,MO,806549
MM,MO,347209
NG,MO,281486
DF,MO,172049
RE,MO,94515
BM,MO,71291
P1,MO,42058
LG,MO,30742
JF,MO,18629
HY,MO,10843
RF,MO,25
TE,MS,1141822
NG,MS,428423
MM,MS,181019
DF,MS,111893
CL,MS,97767
RE,MS,70230
BM,MS,69237
JF,MS,56580
P1,MS,55736
LG,MS,10790
RF,MS,4457
TE,MT,401177
CL,MT,166104
RE,MT,117716
HY,MT,91959
NG,MT,82299
DF,MT,60905
MM,MT,58099
P1,MT,36797
BM,MT,8612
LG,MT,8228
JF,MT,4960
RF,MT,6
TE,NC,2524087
CL,NC,493771
MM,NC,486804
NG,NC,445012
RE,NC,220307
DF,NC,174903
BM,NC,148193
HY,NC,65838
JF,NC,57433
P1,NC,35707
LG,NC,33150
RF,NC,1254
TE,ND,588579
CL,ND,393193
DF,ND,133830
RE,ND,97373
NG,ND,88711
MM,ND,50597
BM,ND,26055
HY,ND,17674
P1,ND,14169
LG,ND,12682
JF,ND,6553
RF,ND,13
TE,NE,871805
CL,NE,292956
NG,NE,179612
RE,NE,136286
DF,NE,110112
BM,NE,107101
MM,NE,97457
LG,NE,12338
HY,NE,10723
P1,NE,7404
JF,NE,6071
TE,NH,302752
MM,NH,79241
RE,NH,57958
NG,NH,55633
BM,NH,40313
DF,NH,37623
CL,NH,16778
LG,NH,16495
HY,NH,13617
P1,NH,3970
RF,NH,1966
JF,NH,1941
TE,NJ,2314512
NG,NJ,713374
MM,NJ,446080
JF,NJ,204581
DF,NJ,166080
P1,NJ,108348
RE,NJ,89007
BM,NJ,64732
RF,NJ,35876
CL,NJ,25910
LG,NJ,7937
HY,NJ,174
