state,zipcode,districtcode
01,35444,0107
01,35446,0104
01,35446,0107
01,35447,0107
01,35452,0104
01,35452,0107
01,35453,0104
01,35453,0107
01,35456,0106
01,35456,0107
01,35457,0104
01,35458,0104
01,35459,0107
01,35460,0107
01,35461,0107
01,35462,0107
01,35463,0107
01,35464,0107
01,35466,0104
01,35466,0107
01,35469,0107
01,35470,0107
01,35473,0104
01,35473,0107
01,35474,0107
01,35475,0104
01,35476,0104
01,35476,0107
01,35477,0107
01,35480,0104
01,35480,0107
01,35481,0107
01,35490,0104
01,35490,0107
01,35501,0104
01,35503,0104
01,35504,0104
01,35540,0104
01,35541,0104
01,35542,0104
01,35543,0104
01,35544,0104
01,35545,0104
01,35546,0104
01,35548,0104
01,35549,0104
01,35550,0104
01,35552,0104
01,35553,0104
01,35554,0104
01,35555,0104
01,35555,0107
01,35559,0104
01,35563,0104
01,35564,0104
01,35565,0104
01,35570,0104
01,35571,0104
01,35572,0104
01,35574,0104
01,35574,0107
01,35575,0104
01,35576,0104
01,35576,0107
01,35577,0104
01,35578,0104
01,35579,0104
01,35580,0104
01,35581,0104
01,35582,0104
01,35584,0104
01,35585,0104
01,35586,0104
01,35587,0104
01,35592,0104
01,35593,0104
01,35594,0104
01,35601,0105
01,35603,0104
01,35603,0105
01,35610,0105
01,35611,0105
01,35613,0105
01,35614,0105
01,35615,0105
01,35616,0104
01,35618,0104
01,35619,0104
01,35619,0105
01,35620,0105
01,35621,0104
01,35621,0105
01,35622,0104
01,35622,0105
01,35630,0105
01,35633,0105
01,35634,0105
01,35640,0105
01,35643,0104
01,35645,0105
01,35646,0104
01,35647,0105
01,35648,0105
01,35649,0105
01,35650,0104
01,35651,0104
01,35652,0105
01,35653,0104
01,35654,0104
01,35660,0104
01,35661,0104
01,35670,0105
01,35671,0105
01,35672,0104
01,35673,0104
01,35673,0105
01,35674,0104
01,35677,0105
01,35739,0105
01,35740,0105
01,35741,0105
01,35744,0105
01,35745,0105
01,35746,0105
01,35747,0104
01,35748,0105
01,35749,0105
01,35750,0105
01,35751,0105
01,35752,0105
01,35754,0104
01,35754,0105
01,35755,0104
